ev_id,origin_time_utc,evla,evlo,evdep_km,mag,n_picks
618325441,2020-05-24T19:53:32.98,-40.4584,174.9944,61.4,5.6,15
618328424,2020-02-26T07:33:11.58,-7.5221,131.1196,55.3,6.0,28
618328658,2020-05-26T22:52:13.44,-17.0539,167.8415,14.6,,19
618328691,2020-05-27T07:09:10.64,-17.2295,167.8732,14.5,6.0,30
618329821,2020-05-27T19:35:51.58,-6.2665,130.6786,127.7,,13
618347910,2020-05-27T21:09:10.58,-23.7664,69.5239,10.0,,11
618347922,2020-05-27T23:06:19.30,-6.1556,147.2197,78.0,,11
618348260,2020-05-28T12:20:16.13,-4.2376,142.7705,61.1,,10
618367798,2020-05-30T13:06:25.63,4.0310,126.5123,47.4,5.7,23
618411940,2020-06-03T06:58:26.72,4.6319,127.5806,128.4,,11
618415912,2020-06-03T09:31:38.17,-24.8203,-176.7574,99.6,5.8,31
618421460,2020-06-03T15:54:04.48,-7.0601,116.8940,654.5,5.9,39
618435293,2020-06-04T01:32:11.27,35.5911,-117.3931,8.5,5.7,10
618435309,2020-06-04T08:49:39.74,2.8672,128.2113,116.7,6.5,34
618452911,2020-06-05T06:19:38.53,-22.3769,-175.5766,40.1,,15
618453607,2020-05-07T11:21:20.84,-4.4634,154.7087,481.1,6.1,49
618453608,2020-05-07T15:16:40.85,-4.1476,152.5775,132.9,,11
618453613,2020-05-12T22:41:13.47,-12.1340,166.5383,124.5,6.1,49
618453622,2020-05-16T03:15:44.36,-16.1030,168.0319,184.9,6.0,30
618453642,2020-05-23T00:13:38.53,-7.1750,129.1500,138.3,5.6,24
618453655,2020-05-28T07:18:44.42,-22.2808,-174.3599,11.3,5.9,32
618453656,2020-05-28T09:46:49.16,-27.8385,-175.2269,9.6,5.8,29
618453662,2020-05-29T11:07:49.36,-17.3739,167.6817,10.2,5.5,20
618453664,2020-05-29T20:14:50.52,-32.1855,-178.4925,10.0,,12
618453667,2020-05-30T03:06:20.95,-6.0847,152.3019,18.0,5.5,11
618458647,2020-06-05T18:06:21.70,38.2479,38.7636,6.6,,15
618461456,2020-06-06T10:55:43.03,-16.7961,177.3492,13.1,5.5,18
618461628,2020-06-07T14:36:59.91,-10.6564,166.2424,32.9,5.5,20
618461629,2020-06-07T14:43:26.04,-10.6922,166.1637,32.4,5.6,16
618461990,2020-06-08T02:34:34.05,-0.3938,124.1817,85.1,,23
618469021,2020-06-09T04:56:10.06,-4.2047,126.4477,14.1,5.5,31
618470201,2020-06-09T17:18:14.76,27.6522,53.4261,16.9,5.5,25
618470206,2020-06-09T18:18:29.48,-5.1007,145.4891,64.0,,14
618471033,2020-06-10T04:35:18.14,-2.6878,101.0195,49.6,,11
